country,code,continent,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,Asia,0.02798501303,0.02807544734,0.02802714526,0.02783860715,0.02750838243,0.02704163864,0.0271312076,0.02709968446,0.02693829492,0.02664203033,0.02621290453,0.02624256371,0.02615582404,0.02596546573,0.02568980617,0.02534843132,0.0254122587,0.02531509761,0.02506093566,0.02466457674,0.02414561188,0.02432312846,0.02425855779,0.02391254884,0.02322547764,0.02211481747,0.02244858888,0.02268907439,0.02277320428,0.022611041,0.02211833444,0.02225539738,0.02242935547,0.02263906981,0.02291191728,0.02329483581,0.02325560779,0.02312132156,0.02293559282,0.02272249856,0.02248399951,0.02227795885,0.0221176844,0.02200083582,0.02192472575,0.02189611196,0.02214220199,0.02234100939,0.02252807583,0.02275048099,0.02303284913,0.02337387233,0.02377717688,0.02420284102,0.02459510679,0.02493139921,0.02541557556,0.02580526062
Albania,ALB,Europe,0.05410492292,0.05390589228,0.05405187461,0.0543491766,0.05456098912,0.05457769798,0.05403659197,0.05337154393,0.05270804323,0.05220121103,0.05193214262,0.05181518137,0.05178220038,0.05181665239,0.05188364529,0.05196872462,0.05218004609,0.05239808621,0.05261457698,0.05282004346,0.05301240982,0.05329971211,0.05354781383,0.05375743681,0.05390939148,0.0539986009,0.05413521646,0.05417392954,0.05423449307,0.05448268448,0.05502622513,0.05657266001,0.05837071868,0.06036463444,0.06242330562,0.06445323774,0.06577425172,0.06696956212,0.06812528568,0.06936616252,0.07074557781,0.07331905745,0.0761046342,0.07906327641,0.08211331646,0.08521770142,0.08927712748,0.09345030685,0.0977530728,0.1021824282,0.1067259728,0.1105381911,0.1141862798,0.117717848,0.1213698088,0.1253669677,0.1283390256,0.1318752986
Algeria,DZA,Africa,0.03221174002,0.03306538029,0.03403188992,0.03493660815,0.03558336593,0.03589250993,0.03598338925,0.03581638042,0.03553254139,0.03528743949,0.0351554505,0.03543657336,0.03574089069,0.0359844722,0.0360680079,0.03595974864,0.03581776844,0.03551681543,0.03513257999,0.0347559462,0.03443478198,0.03435161162,0.03431547727,0.03426686908,0.0341327769,0.03389640256,0.03382831198,0.03370605702,0.03360320716,0.03361291571,0.03378873107,0.03413951827,0.03457885102,0.03511296717,0.03575579838,0.03652055483,0.03765024566,0.03893884529,0.04035247938,0.04183251606,0.04335062016,0.0446369388,0.0458771336,0.04708439955,0.04825827319,0.0493964616,0.05052058423,0.05157860292,0.05260041281,0.05361799663,0.05467201523,0.0551705971,0.0556972401,0.05635777367,0.05731986958,0.05869785076,0.06020834037,0.06210714896
Angola,AGO,Africa,0.02542430848,0.02574385228,0.02585261217,0.02579703054,0.02565234952,0.0254492005,0.02564198061,0.02577398735,0.02583436533,0.02578947622,0.02562149324,0.02583471206,0.02595395467,0.02598612798,0.02594584296,0.02584374132,0.02599279559,0.02608428398,0.02612024359,0.02610026638,0.02602615931,0.02609127777,0.02612251356,0.02611653635,0.0260698289,0.02599179078,0.02604505415,0.02600071598,0.02588343132,0.02571547353,0.02550141762,0.02544839082,0.02536630542,0.02524766606,0.0250858644,0.02488647763,0.02488127869,0.02481539343,0.02469595889,0.02452443503,0.02429699207,0.02428078321,0.02422184612,0.02412080972,0.02397862875,0.02380109962,0.02374151254,0.02367308361,0.02357879943,0.02343231108,0.02323458241,0.02310326809,0.02293196367,0.02280595607,0.02283381722,0.02306313815,0.02349443383,0.02404553986
Antigua and Barbuda,ATG,N. America,0.04080305029,0.04068110573,0.04035419292,0.04000411706,0.03971507291,0.03942021355,0.03960747031,0.03983585859,0.03995050653,0.04003944773,0.04003099943,0.04074030621,0.04135827455,0.04193189279,0.04269307825,0.04375148375,0.04541744484,0.04721783877,0.04916534832,0.0507969753,0.05198660167,0.05418388854,0.05595737633,0.05741286171,0.05867797808,0.0597575306,0.06228836344,0.0648979291,0.06771749829,0.0709021868,0.07468213986,0.07550477662,0.07662180134,0.07756870371,0.07806857318,0.07791466877,0.07595070609,0.07348949691,0.07080687781,0.06820153731,0.06579010337,0.06521509106,0.06496186215,0.06524005361,0.06600043056,0.06723583521,0.06729715064,0.06743196069,0.06744306754,0.0672251846,0.06666948374,0.06639225232,0.06586275665,0.06532139352,0.0652642225,0.06583068963,0.06728207363,0.06932517743
Argentina,ARG,S. America,0.05578994208,0.05720901994,0.05858204759,0.05993620339,0.06130228443,0.06269948154,0.06427658002,0.06581940688,0.06732566457,0.06878602449,0.07019759432,0.07168794751,0.07306862472,0.07434312279,0.07550736208,0.07655986166,0.07793598798,0.07913845103,0.08020132606,0.08117741841,0.08211140669,0.08290242173,0.08373177514,0.0845737959,0.08537305557,0.08611470226,0.08725238067,0.08815109827,0.08891825851,0.08969453186,0.09053481911,0.09160937254,0.09270646267,0.09377085934,0.09470363184,0.095471489,0.09649298941,0.09735770548,0.0980737876,0.09865412278,0.09911588093,0.09975047976,0.1001773321,0.1004810075,0.1007663671,0.1011025077,0.1016038367,0.1021342037,0.1027121501,0.1033432667,0.1040473644,0.1050346811,0.1060134373,0.1070165262,0.1080895822,0.1092630171,0.1106082386,0.1119844686
Armenia,ARM,Europe,0.06348046016,0.06100620606,0.05876261367,0.05682971734,0.05531427069,0.05427989487,0.05402738363,0.05416942411,0.05458240669,0.0550849092,0.05557124272,0.05636807273,0.05685640811,0.05718043587,0.05752903924,0.05797285118,0.05867290702,0.05944649109,0.06005182472,0.0601409266,0.05959414159,0.05879211916,0.05751066323,0.05605827714,0.05484181708,0.05410656982,0.05348476058,0.05316022112,0.05334482663,0.05434233977,0.05631958939,0.06075057107,0.066219164,0.07231487159,0.07833332318,0.08381297357,0.08781600996,0.09086919414,0.09346237829,0.09640866334,0.1001567637,0.1043021908,0.1091635609,0.1139615999,0.117472369,0.1189970412,0.1190430962,0.1173035905,0.1145140326,0.1118066845,0.1099359784,0.1086563028,0.1081660087,0.1082550633,0.108608777,0.1090923739,0.1106428575,0.1123247283
Aruba,ABW,S. America,0.02482890926,0.02584869584,0.02690973766,0.02800952465,0.02929934072,0.03078800558,0.03234860955,0.03396778917,0.03574487035,0.03778564861,0.04004198906,0.04360699865,0.04735962567,0.05120926913,0.05491673275,0.05855878134,0.06042650117,0.06241924262,0.06440610286,0.06647215739,0.06850705538,0.06985652253,0.07107343712,0.07194418096,0.07269717996,0.07317614953,0.0738139327,0.07455565798,0.0753286727,0.07609123083,0.07655794944,0.07392219368,0.07173737818,0.07016164625,0.06929595828,0.06912006374,0.06986778846,0.07090613334,0.07229854372,0.07390596034,0.07580377093,0.07757971108,0.07955406771,0.08167640723,0.0838287572,0.08591336686,0.0891879562,0.09229401304,0.09548804673,0.09891279706,0.1028828847,0.105837163,0.1091862698,0.1129502747,0.117038393,0.121371273,0.126061323,0.1308519532
Australia,AUS,Oceania,0.08577628306,0.08597080988,0.08607512567,0.08610292237,0.08603420793,0.08587548296,0.08513938718,0.08433121451,0.08351869431,0.08278675691,0.08220412569,0.08323088815,0.08420262579,0.08519932735,0.08633687969,0.08768372562,0.08921634718,0.09103346956,0.09295758462,0.09470814386,0.09614695072,0.09774361895,0.09887831071,0.09981026742,0.1009154658,0.1023827262,0.1037711632,0.1054479553,0.1072647923,0.1090147136,0.1106251941,0.1126248554,0.114435553,0.116045169,0.1174628395,0.1187148074,0.1198219649,0.1207736134,0.1216290417,0.1224841488,0.1234462486,0.1243706279,0.1253805327,0.1264911487,0.1276805251,0.1289425736,0.1295920842,0.1302376654,0.1310972178,0.1324619094,0.1344754729,0.1370789485,0.1401699213,0.14350655,0.146756393,0.1497702699,0.1525289234,0.1550357981
Austria,AUT,Europe,0.1215173126,0.1233807662,0.1252980422,0.1272161432,0.1290753995,0.130871892,0.133024477,0.1349722475,0.1367200137,0.1382895302,0.1397068415,0.1417440906,0.1434853075,0.1449788199,0.1462469328,0.1472879386,0.1493732424,0.1512128671,0.1525339166,0.15286343,0.1519540607,0.1506867088,0.14812652,0.145049465,0.1425797012,0.1413624746,0.1418638341,0.1435253359,0.1458004985,0.1478569583,0.149214689,0.1508034091,0.1517325793,0.1521100208,0.1521311805,0.1518985622,0.1524527464,0.1527790833,0.1530337583,0.1533687823,0.1538990005,0.1552005131,0.156503431,0.1579435033,0.1597298618,0.1619732253,0.164900012,0.1682314733,0.1717391921,0.1750565093,0.1779838688,0.1805262688,0.1827278345,0.1846984306,0.1865645428,0.1884048027,0.190274599,0.1920153824
Azerbaijan,AZE,Europe,0.05383971232,0.05293946883,0.05227158585,0.05178548585,0.05142135787,0.05115849158,0.0511978651,0.05139836536,0.05166831813,0.05186112584,0.05191075333,0.05204415452,0.05186298098,0.0515186344,0.05122047966,0.0510599233,0.05117440183,0.05139845004,0.05155935897,0.0513868917,0.05077341938,0.05026242855,0.04939178444,0.0483379303,0.04731863941,0.04646127515,0.04600824385,0.04560615072,0.04541003784,0.04564093937,0.04641346557,0.04751423463,0.04895854782,0.05051661107,0.05193905489,0.05313298634,0.05446373825,0.05550397091,0.05640679894,0.05738210516,0.05849899361,0.06062136305,0.06278305668,0.06464653089,0.06574309276,0.06585866049,0.06534595235,0.06411359584,0.06244026291,0.06066080915,0.0589823744,0.0581902571,0.05746529825,0.05696233785,0.05689035193,0.05738112064,0.0584971303,0.06017789873
